Istasyon_No|Istasyon_Adi|YIL|AY|MAKS?MUM KURESEL GUNES RADYASYONU Watt?m?
17227|AYDIN ?ILDIR HAVAL?MANI|2012|10|299526.2
17227|AYDIN ?ILDIR HAVAL?MANI|2012|11|218376.7
17227|AYDIN ?ILDIR HAVAL?MANI|2012|12|172777.0
17227|AYDIN ?ILDIR HAVAL?MANI|2013|1|223195.8
17227|AYDIN ?ILDIR HAVAL?MANI|2013|2|282257.7
17227|AYDIN ?ILDIR HAVAL?MANI|2013|3|376631.0
17227|AYDIN ?ILDIR HAVAL?MANI|2013|4|446919.1
17227|AYDIN ?ILDIR HAVAL?MANI|2013|5|493087.2
17227|AYDIN ?ILDIR HAVAL?MANI|2013|6|515778.0
17227|AYDIN ?ILDIR HAVAL?MANI|2013|7|501477.3
17227|AYDIN ?ILDIR HAVAL?MANI|2013|8|464612.0
17227|AYDIN ?ILDIR HAVAL?MANI|2013|9|413637.1
17227|AYDIN ?ILDIR HAVAL?MANI|2013|10|338274.4
17227|AYDIN ?ILDIR HAVAL?MANI|2013|11|227614.3
17227|AYDIN ?ILDIR HAVAL?MANI|2013|12|185984.8
17227|AYDIN ?ILDIR HAVAL?MANI|2014|1|205109.6
17227|AYDIN ?ILDIR HAVAL?MANI|2014|2|285162.3
17227|AYDIN ?ILDIR HAVAL?MANI|2014|3|413860.7
17227|AYDIN ?ILDIR HAVAL?MANI|2014|4|423598.5
17227|AYDIN ?ILDIR HAVAL?MANI|2014|5|486837.6
17227|AYDIN ?ILDIR HAVAL?MANI|2014|6|516143.3
17227|AYDIN ?ILDIR HAVAL?MANI|2014|7|501068.2
17227|AYDIN ?ILDIR HAVAL?MANI|2014|8|442349.4
17227|AYDIN ?ILDIR HAVAL?MANI|2014|9|391559.6
17227|AYDIN ?ILDIR HAVAL?MANI|2014|10|333671.9
17227|AYDIN ?ILDIR HAVAL?MANI|2014|11|240945.3
17227|AYDIN ?ILDIR HAVAL?MANI|2014|12|174317.2
17227|AYDIN ?ILDIR HAVAL?MANI|2015|1|197165.4
17227|AYDIN ?ILDIR HAVAL?MANI|2015|2|292938.7
17227|AYDIN ?ILDIR HAVAL?MANI|2015|3|370033.8
17227|AYDIN ?ILDIR HAVAL?MANI|2015|4|468249.5
17227|AYDIN ?ILDIR HAVAL?MANI|2015|5|501152.8
17227|AYDIN ?ILDIR HAVAL?MANI|2015|6|505085.0
17227|AYDIN ?ILDIR HAVAL?MANI|2015|7|501463.9
17227|AYDIN ?ILDIR HAVAL?MANI|2015|8|452051.7
17227|AYDIN ?ILDIR HAVAL?MANI|2015|9|402339.2
17227|AYDIN ?ILDIR HAVAL?MANI|2015|10|322065.8
17227|AYDIN ?ILDIR HAVAL?MANI|2015|11|252566.9
17227|AYDIN ?ILDIR HAVAL?MANI|2015|12|189296.3
17227|AYDIN ?ILDIR HAVAL?MANI|2016|1|214800.0
17227|AYDIN ?ILDIR HAVAL?MANI|2016|2|267600.0
17227|AYDIN ?ILDIR HAVAL?MANI|2016|3|391800.0
17227|AYDIN ?ILDIR HAVAL?MANI|2016|4|465000.0
17227|AYDIN ?ILDIR HAVAL?MANI|2016|5|490200.0
17227|AYDIN ?ILDIR HAVAL?MANI|2016|6|507600.0
17227|AYDIN ?ILDIR HAVAL?MANI|2016|7|490200.0
17227|AYDIN ?ILDIR HAVAL?MANI|2016|8|442800.0
17227|AYDIN ?ILDIR HAVAL?MANI|2016|9|377400.0
17227|AYDIN ?ILDIR HAVAL?MANI|2016|10|319800.0
17227|AYDIN ?ILDIR HAVAL?MANI|2016|11|241200.0
17227|AYDIN ?ILDIR HAVAL?MANI|2016|12|183000.0
17227|AYDIN ?ILDIR HAVAL?MANI|2017|1|231600.0
17227|AYDIN ?ILDIR HAVAL?MANI|2017|2|279000.0
17227|AYDIN ?ILDIR HAVAL?MANI|2017|3|373800.0
17227|AYDIN ?ILDIR HAVAL?MANI|2017|4|457200.0
17227|AYDIN ?ILDIR HAVAL?MANI|2017|5|483000.0
17227|AYDIN ?ILDIR HAVAL?MANI|2017|6|499800.0
17227|AYDIN ?ILDIR HAVAL?MANI|2017|7|501000.0
17237|DEN?ZL?|2019|11|140400.0
17237|DEN?ZL?|2019|12|163800.0
17237|DEN?ZL?|2020|1|205800.0
17237|DEN?ZL?|2020|2|270000.0
17237|DEN?ZL?|2020|3|363000.0
17237|DEN?ZL?|2020|4|454800.0
17237|DEN?ZL?|2020|5|486000.0
17237|DEN?ZL?|2020|6|482400.0
17237|DEN?ZL?|2020|7|483000.0
17237|DEN?ZL?|2020|8|457800.0
17237|DEN?ZL?|2020|9|382200.0
17237|DEN?ZL?|2020|11|225000.0
17237|DEN?ZL?|2020|12|135000.0
17237|DEN?ZL?|2021|1|204128.9
17237|DEN?ZL?|2021|2|278845.1
17237|DEN?ZL?|2021|3|347902.8
17237|DEN?ZL?|2021|4|450773.9
17237|DEN?ZL?|2021|5|493641.1
17237|DEN?ZL?|2021|6|500358.7
17296|FETH?YE|2018|10|301200.0
17296|FETH?YE|2018|11|236400.0
17296|FETH?YE|2018|12|173400.0
17296|FETH?YE|2019|1|193200.0
17296|FETH?YE|2019|2|305400.0
17296|FETH?YE|2019|3|400200.0
17296|FETH?YE|2019|4|465000.0
17296|FETH?YE|2019|5|479400.0
17296|FETH?YE|2019|6|490800.0
17296|FETH?YE|2019|7|492600.0
17296|FETH?YE|2019|8|465016.7
17296|FETH?YE|2019|9|374400.0
17296|FETH?YE|2019|10|314400.0
17296|FETH?YE|2019|11|221400.0
17296|FETH?YE|2019|12|186600.0
17296|FETH?YE|2020|1|231600.0
17296|FETH?YE|2020|2|289800.0
17296|FETH?YE|2020|3|381600.0
17296|FETH?YE|2020|4|450000.0
17296|FETH?YE|2020|5|498600.0
17296|FETH?YE|2020|6|497400.0
17296|FETH?YE|2020|7|491400.0
17296|FETH?YE|2020|8|444600.0
17296|FETH?YE|2020|9|399600.0
17296|FETH?YE|2020|11|229800.0
17296|FETH?YE|2020|12|168000.0
17296|FETH?YE|2021|1|227481.1
17296|FETH?YE|2021|2|292746.3
17296|FETH?YE|2021|3|402033.0
17296|FETH?YE|2021|4|462830.8
17296|FETH?YE|2021|5|515864.7
17296|FETH?YE|2021|6|511041.9
17298|MARMAR?S|2019|8|426711.9
17298|MARMAR?S|2019|9|379200.0
17298|MARMAR?S|2019|10|324600.0
17298|MARMAR?S|2019|11|224400.0
17298|MARMAR?S|2019|12|181200.0
17298|MARMAR?S|2020|1|208200.0
17298|MARMAR?S|2020|2|291600.0
17298|MARMAR?S|2020|3|383400.0
17298|MARMAR?S|2020|4|457200.0
17298|MARMAR?S|2020|5|491400.0
17298|MARMAR?S|2020|6|510000.0
17298|MARMAR?S|2020|7|486600.0
17298|MARMAR?S|2020|8|441600.0
17298|MARMAR?S|2020|9|394800.0
17298|MARMAR?S|2020|11|197400.0
17298|MARMAR?S|2020|12|170400.0
17298|MARMAR?S|2021|1|225423.6
17298|MARMAR?S|2021|2|293848.1
17298|MARMAR?S|2021|3|394931.4
17298|MARMAR?S|2021|4|444355.5
17298|MARMAR?S|2021|5|486001.8
17298|MARMAR?S|2021|6|502672.2
17924|K?YCE??Z|2015|10|0.0
18032|KARABURUN|2013|7|0.0
18032|KARABURUN|2013|8|0.0
18032|KARABURUN|2013|9|0.0
18032|KARABURUN|2013|10|0.0
18032|KARABURUN|2013|12|0.0
